No.,Legacy,Fund,Revenue Accounts,FY 1978,FY 1979,FY 1980,FY 1981,FY 1982,FY 1983,FY 1984,FY 1985,FY 1986,FY 1987,FY 1988,FY 1989,FY 1990,FY 1991,FY 1992,FY 1993,FY 1994,FY 1995,FY 1996,FY 1997,FY 1998,FY 1999,FY 2000,FY 2001,FY 2002,FY 2003,FY 2004,FY 2005,FY 2006,FY 2007,FY 2008,FY 2009,FY 2010,FY 2011,FY 2012,FY 2013,FY 2014,FY 2015,FY 2016,FY 2017
258,A001-700,General,New Health Plan Review, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,8250.00,19650.00,21195.00,9960.00,8970.00,57630.00
259,A001-701,General,Hazard Analysis Critical Control Point Plan, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,5500.00,1100.00,600.00,660.00,281.00,500.00
260,A001-705,General,, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,206533.00, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
261,A001-706,General,Sheriff - DHR Service Agreement, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,154821.00,234052.00,211347.00,246805.00,638958.00,354686.00,296558.00,768222.00,118311.00,613393.00,455378.00,424042.00,418150.00,416078.00,480465.00,636960.00,531332.00,549312.00,199556.00,934803.00,329548.00,345384.00, $-   ,719909.00
262,A001-707,General,,135857.00,29711.00,303994.00,565153.00,555321.00,637973.00,718805.00,812641.00,688466.00,540400.00,376638.00,470289.00,131531.00,274319.00,118330.00,176440.00,133870.00,179308.00,62310.00,131661.00, $-   ,547542.00, $-   , $-   , $-   , $-   ,32366.00, $-   ,23663.00, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
263,A001-708,General,, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,553647.00,803802.00,772925.00,774360.00,785636.00,732332.00,664623.00,677023.00, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
264,A001-754,General,Waxter Center Memberships, $-   , $-   , $-   , $-   , $-   ,30282.00,39549.00,34137.00,34862.00,33199.00,33168.00,31520.00,31334.00,31095.00,35293.00,32403.00,32984.00,31758.00,33193.00,32843.00,33410.00,32711.00,25737.00,34471.00,30226.00,14667.00,8484.00,7989.00,1346.00,3965.00,1650.00,3786.00,2736.00,8507.00,1298.00, $-   , $-   , $-   , $-   , $-   
265,A001-755,General,, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,1880.00,1469.00,3100.00,2629.00,3075.00,4105.00,925.00,1665.00,2305.00, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
266,A001-756,General,, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,109032.00,86201.00,108111.00,114751.00,115171.00,131732.00,132230.00,161471.00,31111.00,144222.00,106526.00,124574.00,113492.00,153819.00,168100.00,171660.00,150444.00,149494.00,111950.00,115882.00,115207.00,95220.00,78764.00, $-   , $-   , $-   , $-   , $-   , $-   , $-   
267,A001-757,General,, $-   , $-   , $-   ,16709.00,-833.00,13265.00,18520.00,21410.00,15982.00,24129.00,42174.00,49617.00,-63.00,138129.00,157017.00,158008.00,169801.00,184233.00,98889.00,25561.00,37966.00,77306.00,61133.00,154819.00,101647.00,92670.00,107210.00,121537.00,130740.00,128320.00,134553.00,130306.00,134204.00, $-   , $-   , $-   , $-   , $-   , $-   , $-   
268,A001-758,General,, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,11238.00,20519.00,33291.00,27769.00,25713.00,29647.00,28531.00,24144.00,24435.00,24256.00,22218.00,18033.00,10425.00,61070.00,37204.00,46979.00,50241.00,57146.00,64638.00,59991.00,61804.00,74124.00,64050.00, $-   , $-   , $-   ,5292.00,4941.00, $-   ,0.00
269,A001-759,General,, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,9000.00,15402.00,12000.00,9000.00,11920.00,15000.00,8850.00,12000.00,21590.00,17000.00,16000.00,12000.00,16000.00, $-   ,251302.00,361503.00,394708.00, $-   , $-   , $-   , $-   , $-   , $-   , $-   
270,A001-760,General,, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,12660.00,132785.00,148157.00,155837.00,183358.00,307917.00,142457.00,196193.00,171101.00,133082.00,272474.00,208013.00,258239.00,250264.00,287823.00,247037.00,173683.00,22000.00,16170.00,40315.00, $-   , $-   , $-   , $-   , $-   , $-   , $-   
271,A001-761,General,, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,23509.00,58116.00,56392.00,54457.00, $-   , $-   , $-   , $-   , $-   , $-   , $-   
272,A001-769,General,, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,392731.00,652229.00,589277.00,562509.00,468794.00,453459.00,472135.00,417168.00,420449.00,403334.00,180555.00,340614.00,223877.00, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
273,A001-771,General,,30448.00,43859.00,37026.00,49246.00,42123.00,68939.00,57007.00,52153.00,33638.00,23627.00,12465.00,5936.00,997.00,4529.00,5017.00,6223.00,1912.00,3671.00,63.00,6255.00,2422.00,186.00, $-   , $-   , $-   ,500.00, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
274,A001-772,General,, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,36968.00,23844.00,13535.00,1662.00, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
275,A001-773,General,Video Rental and Other Charges, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,37419.00,36222.00,47528.00,66606.00,72441.00,83586.00,65333.00,89374.00,94457.00,62313.00,129747.00,65669.00,69411.00,31464.00,91761.00,70517.00,100809.00,116897.00,136364.00,66048.00,39084.00,-12453.00,10913.00
276,A001-776,General,, $-   , $-   , $-   , $-   , $-   ,76814.00,109394.00,128993.00,100926.00,135112.00,120228.00,102014.00,120952.00,120541.00,120439.00,120023.00,120382.00,120303.00, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
277,A001-777,General,Swimming Pool Passes, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,437.00,64078.00,75681.00,75496.00,48295.00,57719.00,62939.00,59138.00,83451.00,66710.00,92292.00,78898.00,82972.00,79469.00,65420.00,154919.00,102239.00,125915.00,99274.00,93963.00,126283.00,121590.00,113166.00,108319.00,91347.00,66516.00,122318.00,120008.00,162893.00,137728.00,159608.00,160769.00
278,A001-778,General,General Recreation and Culture Charges, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,350000.00, $-   , $-   , $-   , $-   
279,A001-785,General,Impounding Cars - Storage, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,570757.00,687598.00,1982774.00,2086718.00,2401892.00,2688472.00,2785984.00,2809530.00,2759851.00,2993606.00,3026097.00,3128286.00,3285475.00,3299224.00,3512985.00,3321603.00,4963618.00,5651588.00,6827850.00,6810109.00,6980174.00,7115901.00,6666415.00,5627939.00,5039700.00,5329063.00,4690312.00,4600535.00,4830434.00,4646728.00,4623962.00,5295700.00
280,A001-786,General,,27882.00,28269.00,33874.00,59393.00,37810.00,45297.00,28488.00,34503.00,73421.00,44764.00,31248.00,35800.00,43685.00,26918.00,2418.00,1689.00,3265.00,2633.00,2701.00,3532.00,2783.00,1874.00,2269.00,913.00, $-   ,588.00,1053.00,780.00,323.00,128.00,411.00, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
281,A001-787,General,Impounding Cars - Towing,726576.00,736338.00,844939.00,1031519.00,1166376.00,1186799.00,1340104.00,1739481.00,1549983.00,1694508.00,1091135.00,1088844.00,1194022.00,1320392.00,1461248.00,1397821.00,1538779.00,1671392.00,1713566.00,1646618.00,1706796.00,1676604.00,1697609.00,1909710.00,2687835.00,3049865.00,3448422.00,3272156.00,3568571.00,3999040.00,3883254.00,4841796.00,6076312.00,3447115.00,3219167.00,3324973.00,3373442.00,3214657.00,3063836.00,2915228.00
282,A001-788,General,Pulaski Private Tow - Rebate, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,130863.00,241498.00,28993.00,12545.00,30086.00,26321.00, $-   
283,A001-789,General,Fallsway Private Tow - Rebate, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,96641.00,151860.00,47320.00, $-   , $-   ,45495.00,-3.00
284,A001-790,General,Stormwater and Sediment Control Fees, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,68970.00,142930.00,280581.00,202315.00,169805.00,129680.00,147180.00,194772.00,-1750.00,59450.00,121910.00,36280.00,900.00,7300.00, $-   
285,A001-791,General,General Revenue Highways,71083.00,78813.00,111589.00,111814.00,213058.00,135303.00,150102.00,226356.00,253431.00,243201.00,268104.00,284291.00,304363.00,349705.00,378684.00,294191.00,337867.00,434349.00,441991.00,506064.00,514847.00,1075033.00,772887.00,790346.00,974469.00,1352923.00,1662334.00,2355274.00,3175928.00,3764726.00,3469966.00,2679674.00,2317224.00,2537191.00,3889165.00,3547492.00,3315393.00,3425464.00,3388204.00,4684784.00
286,A001-792,General,Traffic Engineering,7660.00,9106.00,5240.00,7121.00,7732.00,10680.00,5376.00,6318.00,5579.00,5095.00,5314.00,4390.00,19415.00,5305.00,5720.00,7898.00,5209.00,5471.00,6543.00,6382.00,4016.00,11026.00,17426.00,21188.00,40362.00,47702.00,27895.00,29009.00,20035.00,32263.00,33302.00,32360.00,35583.00,36560.00,33620.00,6150.00,12770.00,15000.00,111182.00,522865.00
287,A001-794,General,, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,-804.00, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
288,A001-795,General,Landfill Disposal Tipping Fees,218733.00,147406.00,819798.00,2186702.00,1796226.00,2158414.00,1820231.00,2958571.00,4768318.00,5364819.00,5537671.00,6015628.00,7034071.00,7101800.00,6135175.00,-1.00,5659130.00,6439154.00,5363714.00,6021635.00,4487434.00,3593857.00,5062322.00,3904109.00,4326538.00,3432840.00,4599869.00,4468370.00,6082149.00,7305202.00,7283300.00,6291250.00,6184826.00,5744632.00,8730074.00,8101575.00,7634186.00,6957887.00,7137299.00,7787654.00
,A001-796,,Boards and Commissions Pre-Qualifications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, $-   ,52500.00
289,A001-797,General,Solid Waste Surcharge, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,2923776.00,-1.00,4354629.00,3858771.00,3222026.00,2673852.00,2715845.00,2856822.00,2546458.00,2110016.00,2899174.00,3052844.00,2388069.00,2313884.00,2519008.00,2483400.00,2103518.00,2807543.00,2636884.00,2215590.00,740096.00,650467.00,5030133.00,2863257.00,2743581.00,2506797.00
290,A001-798,General,, $-   , $-   , $-   , $-   , $-   , $-   , $-   ,639367.00,3673700.00,3340724.00,3819103.00,3981122.00,3368827.00,4052843.00,3255305.00,1.00,2792190.00, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
291,A001-799,General,Southwest Resource Recovery Facility, $-   , $-   , $-   , $-   , $-   , $-   , $-   ,75813.00,683877.00,719928.00,724452.00,792351.00,955134.00,951000.00,913589.00, $-   ,893191.00,1030469.00,1062629.00,1061117.00,970095.00,984788.00,1005884.00,938045.00,931963.00,916842.00,897973.00,855559.00,864662.00,860000.00,657667.00,688798.00,688537.00,676400.00,701637.00,1322299.00,713453.00,-826293.00,1022463.00,865697.00
292,A001-800,General,Bulk Trash Collection, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
294,A001-864,General,Single Steam Recycables, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,104463.00,282023.00,22778.00,472229.00,1501106.00,475633.00,153528.00,164856.00,1401.00, $-   
295,A001-865,General,Vacat Struct & Boarding Fees, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,6000000.00, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,1443205.00,1748825.00
296,A001-866,General,, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,1000000.00, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
297,A001-867,General,,14192.00,13132.00,9461.00,12146.00,19361.00,28703.00,47896.00,10049.00,565.00,3845.00,5385.00,6686.00,3275.00,618.00,-71.00,198.00, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,50.00, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
298,A001-868,General,CHAP - Miscellaneous Revenue, $-   , $-   , $-   , $-   , $-   , $-   , $-   ,18805.00,7415.00,3686.00,6182.00,3919.00,3139.00,6274.00,3614.00,3347.00,3689.00,2637.00,3146.00,3860.00,5054.00,5160.00,6268.00,6873.00,6728.00,12532.00,12097.00,13709.00,35910.00,45507.00,31212.00,18113.00,17866.00,22865.00,27410.00,36355.00,34325.00,41380.00,32749.00,36155.00
299,A001-869,General,Prior Year Reserve, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,6593000.00, $-   , $-   ,550000.00, $-   ,3066360.00, $-   , $-   , $-   ,6838000.00,3730319.00,6790000.00, $-   ,12456000.00,17680000.00, $-   , $-   ,550000.00, $-   , $-   , $-   ,2500000.00, $-   , $-   , $-   
300,A001-870,General,,151133.00,90368.00,175539.00,150209.00,168350.00,129234.00,123895.00,133658.00,109197.00,94981.00,128973.00,143169.00,122694.00,121334.00,92844.00,65112.00,41029.00,40143.00,55123.00,56975.00,27722.00,3658.00,2199.00,651.00,56.00,438.00,6213.00,7729.00,130.00, $-   ,185.00, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
301,A001-871,General,,67894.00,27416.00,34249.00,15097.00,27938.00,16844.00,16065.00,5012.00,7256.00,16089.00,22163.00,40846.00,8580.00,16265.00,53881.00,6858.00,3868.00,14678.00,84540.00,4116.00,6708.00,2086.00,3934.00,864.00,12088.00,320353.00,217331.00,262194.00,325938.00,357947.00,170786.00, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
302,A001-872,General,Miscellaneous Revenue,72437.00,40344.00,142166.00,222512.00,577166.00,161739.00,1623250.00,112628.00,1180569.00,391387.00,658764.00,3139900.00,1249003.00,893318.00,2185138.00,2763858.00,462252.00,1338362.00,612744.00,1982090.00,2104704.00,1199103.00,851075.00,248773.00,1721877.00,671547.00,542386.00,1029782.00,4769633.00,246424.00,6641325.00,159517.00,442031.00,2180386.00,4595723.00,-42905.00,3777700.00,5784691.00,22881482.00,7891992.00
303,A001-873,General,Penalties and Interest Excl Real and Personal,189081.00,232209.00,187982.00,76185.00,81063.00,102619.00,132521.00,313176.00,285061.00,396309.00,524776.00,472970.00,620106.00,575318.00,591970.00,428069.00,508574.00,983165.00,809208.00,915093.00,639282.00,508818.00,942021.00,654454.00,301896.00,271282.00,402798.00,747075.00,800341.00,1002563.00,988715.00,800744.00,1532622.00,1240181.00,902947.00,1020224.00,901046.00,802915.00,775593.00,1492923.00
304,A001-874,General,,140735.00,83853.00,90575.00,37882.00,64878.00,76951.00,13654.00,29240.00,19609.00,51262.00,40098.00,15284.00,16851.00,27681.00,6430.00,12430.00,42687.00,56860.00,26893.00,16961.00,625.00,2405.00,1566.00, $-   ,428550.00,175061.00,6263.00, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
305,A001-875,General,Asbestos Litigation, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,16702269.00,17000.00,5093045.00,157474.00,441294.00,551728.00,485486.00,378553.00,4785463.00,4545095.00,460845.00,569299.00,107428.00, $-   , $-   ,550000.00, $-   ,37166.00, $-   , $-   , $-   , $-   , $-   , $-   
306,A001-876,General,, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,19763232.00, $-   , $-   ,7800000.00, $-   , $-   , $-   , $-   ,4944446.00,-50000.00, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
307,A001-877,General,Sale of Scrap/Recycled Metal, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,414237.00, $-   , $-   , $-   , $-   ,-1374561.00,-5005400.00, $-   , $-   , $-   , $-   , $-   , $-   , $-   ,198049.00,247371.00,276214.00,173878.00,269506.00,141255.00,34931.00,46090.00,47792.00,-461.00, $-   ,21332.00,31463.00
308,A001-878,General,Overhead Reimbursement,-268962.00,-259222.00,-279404.00,-323895.00,-299296.00,-391595.00,-381141.00,-433222.00,-558558.00,-648418.00,-804931.00,-860927.00,-917074.00,-1050922.00,-1132965.00,-1257643.00,-1077116.00,-1130253.00,-1089578.00,-1544415.00,-1481305.00,-920171.00,-840084.00,-806808.00,-874365.00,-1012779.00,-915024.00,-955106.00,-882256.00,-1057120.00,-1075414.00,-1148152.00,-1148152.00,-1148152.00,-1147152.00,-1148152.00, $-   , $-   , $-   , $-   
309,A001-879,General,Legal Settlement Proceeds , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,250000.00, $-   ,5906068.00,180000.00
310,A001-880,General,Innovation Fund, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,750000.00, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,7503.00
311,A001-881,General,, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,141531.00, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
312,A001-883,General,, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,115000.00,5385000.00, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
313,A001-885,General,Police - Miscellaneous,67697.00,43749.00,59217.00,46278.00,73377.00,52689.00,53292.00,46723.00,51292.00,71924.00,97972.00,93482.00,159374.00,101038.00,84201.00,261148.00,222630.00,272369.00,105271.00,83009.00,66235.00,77773.00,254486.00,145131.00,63557.00,57647.00,36220.00,25529.00,23931.00,22827.00,25172.00,27417.00,46600.00,39864.00,43335.00,35432.00,31640.00,30590.00,25580.00,41245.00
314,A001-886,General,, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
315,A001-887,General,,6133.00,6950.00,8747.00,14354.00,25578.00,27400.00,11542.00,12703.00,13252.00,13097.00,14994.00,17328.00,17230.00,7820.00,17433.00,15439.00,7880.00,17683.00,2614.00,1100.00,1510.00,929.00,450.00,900.00,1899.00,1575.00,1125.00,1125.00, $-   , $-   , $-   ,-510.00, $-   , $-   , $-   , $-   ,295.00, $-   , $-   , $-   
316,A001-888,General,, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
317,A001-890,General,,88505.00,58836.00,96544.00,68252.00,46527.00,61158.00,92363.00,79492.00,78416.00,77424.00,80643.00,80641.00,79948.00,59961.00,99935.00,79948.00, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
318,A001-950,General,, $-   , $-   , $-   , $-   , $-   , $-   , $-   ,12709419.00,13560894.00,13142361.00,12935508.00,16590815.00,19078159.00,21791320.00, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
319,A001-951,General,From (To) Loan and Guarantee Enterprise Fund, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,357436.00,-676923.00,-1994000.00,-1723000.00,-1893000.00,-2393000.00,-1726987.00, $-   , $-   ,-1799447.00,-2264067.00,-421945.00,-3075905.00,-2897882.00,-1495000.00,-1500000.00,-1365000.00,-1365000.00,-1365000.00,-2730000.00, $-   ,-1737779.00,-6783835.00,-3365000.00,-500000.00,-500000.00
320,A001-952,General,From Parking Management Fund, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,21594770.00,18777046.00,15844722.00,18746060.00,16086985.00,21622976.00,21008079.00,21476011.00,20380651.00,26281480.00,25165853.00,26991363.00,26792938.00,30948516.00,29866735.00,26600516.00,30697201.00,25628644.00,25752906.00,42864175.00,32457480.00,30334830.00,43423495.00,37740911.00,48128993.00,33531237.00
321,A001-953,General,From (To) Unemployment Fund, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,12373047.00, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,-4800000.00,-2400000.00,-950000.00, $-   , $-   ,-2100000.00, $-   , $-   , $-   , $-   , $-   , $-   
322,A001-954,General,From (To) Fleet Operations Fund, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,-4956000.00,-3571000.00,-1150000.00, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
323,A001-955,General,From (To) Worker's Comp Fund, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,-7700000.00,-5200000.00,-3100000.00,-2060000.00, $-   ,-26000000.00, $-   , $-   , $-   , $-   , $-   , $-   
324,A001-956,General,From (To) Conduit Enterpise Fund,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , $-   , $-   ,750000.00,750000.00,750000.00, $-   
325,A001-957,General,From (To) Children's Fund,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , $-   , $-   , $-   , $-   , $-   , $-   
326,A001-960,General,From (To) Motor Vehicle Fund, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,-11500000.00, $-   ,-31700000.00, $-   , $-   , $-   , $-   , $-   , $-   , $-   
